UniqueID,Group,GroupSubjectID,Time,Score
MAE_0,MAE,0,Pre,2.2233
MAE_1,MAE,1,Pre,1.9733
MAE_2,MAE,2,Pre,1.98
MAE_3,MAE,3,Pre,2.0133
MAE_4,MAE,4,Pre,1.7533
MAE_5,MAE,5,Pre,1.8667
MAE_6,MAE,6,Pre,1.85
MAE_7,MAE,7,Pre,1.58
MAE_8,MAE,8,Pre,1.7867
MAE_9,MAE,9,Pre,1.8167
MAE_10,MAE,10,Pre,1.51
MAE_11,MAE,11,Pre,1.6533
MAE_0,MAE,0,Post1,2.0533
MAE_1,MAE,1,Post1,1.8033
MAE_2,MAE,2,Post1,1.9467
MAE_3,MAE,3,Post1,2.06
MAE_4,MAE,4,Post1,1.7467
MAE_5,MAE,5,Post1,1.7767
MAE_6,MAE,6,Post1,1.7967
MAE_7,MAE,7,Post1,1.55
MAE_8,MAE,8,Post1,1.7333
MAE_9,MAE,9,Post1,1.7667
MAE_10,MAE,10,Post1,1.46
MAE_11,MAE,11,Post1,1.5767
MAE_0,MAE,0,Post2,2.0533
MAE_1,MAE,1,Post2,1.8033
MAE_2,MAE,2,Post2,1.8933
MAE_3,MAE,3,Post2,1.9533
MAE_4,MAE,4,Post2,1.7467
MAE_5,MAE,5,Post2,1.825
MAE_6,MAE,6,Post2,1.7967
MAE_7,MAE,7,Post2,1.57
MAE_8,MAE,8,Post2,1.67
MAE_9,MAE,9,Post2,1.77
MAE_10,MAE,10,Post2,1.51
MAE_11,MAE,11,Post2,1.5133
DI_0,DI,0,Pre,2.1567
DI_1,DI,1,Pre,1.95
DI_2,DI,2,Pre,2.14
DI_3,DI,3,Pre,1.8067
DI_4,DI,4,Pre,2.09
DI_5,DI,5,Pre,2.0133
DI_6,DI,6,Pre,1.7767
DI_7,DI,7,Pre,1.685
DI_8,DI,8,Pre,1.8733
DI_9,DI,9,Pre,1.905
DI_10,DI,10,Pre,1.805
DI_11,DI,11,Pre,1.77
DI_0,DI,0,Post1,2.2
DI_1,DI,1,Post1,1.97
DI_2,DI,2,Post1,2.0233
DI_3,DI,3,Post1,1.8667
DI_4,DI,4,Post1,2.0033
DI_5,DI,5,Post1,1.95
DI_6,DI,6,Post1,1.7
DI_7,DI,7,Post1,1.63
DI_8,DI,8,Post1,1.81
DI_9,DI,9,Post1,1.86
DI_10,DI,10,Post1,1.7033
DI_11,DI,11,Post1,1.725
DI_0,DI,0,Post2,2.23
DI_1,DI,1,Post2,1.89
DI_2,DI,2,Post2,2.1
DI_3,DI,3,Post2,1.9867
DI_4,DI,4,Post2,1.9867
DI_5,DI,5,Post2,1.9667
DI_6,DI,6,Post2,1.885
DI_7,DI,7,Post2,1.66
DI_8,DI,8,Post2,1.8533
DI_9,DI,9,Post2,1.895
DI_10,DI,10,Post2,1.75
DI_11,DI,11,Post2,1.7933
Control_0,Control,0,Pre,1.8733
Control_1,Control,1,Pre,2.35
Control_2,Control,2,Pre,1.9133
Control_3,Control,3,Pre,2.1933
Control_4,Control,4,Pre,1.9833
Control_5,Control,5,Pre,1.82
Control_6,Control,6,Pre,1.63
Control_7,Control,7,Pre,1.8433
Control_8,Control,8,Pre,1.7733
Control_9,Control,9,Pre,2.09
Control_10,Control,10,Pre,1.7733
Control_11,Control,11,Pre,1.81
Control_0,Control,0,Post1,1.7933
Control_1,Control,1,Post1,2.2133
Control_2,Control,2,Post1,1.8767
Control_3,Control,3,Post1,2.15
Control_4,Control,4,Post1,1.8067
Control_5,Control,5,Post1,1.83
Control_6,Control,6,Post1,1.6
Control_7,Control,7,Post1,1.8
Control_8,Control,8,Post1,1.75
Control_9,Control,9,Post1,2.03
Control_10,Control,10,Post1,1.7883
Control_11,Control,11,Post1,1.82
Control_0,Control,0,Post2,1.8
Control_1,Control,1,Post2,2.1233
Control_2,Control,2,Post2,1.83
Control_3,Control,3,Post2,2.0367
Control_4,Control,4,Post2,1.8833
Control_5,Control,5,Post2,1.8967
Control_6,Control,6,Post2,1.65
Control_7,Control,7,Post2,1.8833
Control_8,Control,8,Post2,1.68
Control_9,Control,9,Post2,1.96
Control_10,Control,10,Post2,1.805
Control_11,Control,11,Post2,1.81
